pop	superpop	fam	x	y	country	comment
Miao	EAsia	HmongMien	109	28	China	Laz14; HGDP
She	EAsia	HmongMien	119	27	China	Laz14; HGDP
Japanese	EAsia	Japonic	138	38	Japan	Laz14; HGDP
Korean	EAsia	Koreanic	127.0	37.6	Korea	Laz14
Ami	EAsia	Austronesian	121.2	22.8	Taiwan	Laz14
Atayal	EAsia	Austronesian	121.3	24.6	Taiwan	Laz14
Kankanaey	EAsia	Austronesian	121.03	17.07	Philippines	Sko16
Murut	EAsia	Austronesian	115.14	4.62	Brunei	Sko16
Dusun	EAsia	Austronesian	114.67	4.71	Brunei	Sko16
Ilocano	EAsia	Austronesian	120.98	14.6	Philippines	Sko16
Tagalog	EAsia	Austronesian	120.98	14.6	Philippines	Sko16
Visayan	EAsia	Austronesian	125.51	9.76	Philippines	Sko16 NP
Bajo	EAsia	Austronesian	122.59	-3.97	Indonesia	Sko16 NP
Malay	EAsia	Austronesian	103.82	1.35	Singapore	Sko16
Lebbo	EAsia	Austronesian	117.16	1.66	Indonesia	Sko16 NP
#
# Americas
#
Chipewyan	Americas	NaDene	-107.3	59.6	Canada	Laz14 NP
Cree	Americas	Algic	-102.5	50.3	Canada	Laz14 NP
Algonquin	Americas	Algic	-71.1	48.4	Canada	Laz14 NP
Ojibwa	Americas	Algic	-81.0	46.5	Canada	Laz14 NP
Pima	Americas	UtoAztecan	-108.0	29.0	Mexico	Laz14; HGDP
Mixe	Americas	MixeZoquean	-96.6	17.0	Mexico	Laz14 (x sign wrong)
Mixtec	Americas	OtoManguean	-97.2	16.7	Mexico	Laz14
Zapotec	Americas	OtoManguean	-96.5	17.0	Mexico	Laz14
Mayan	Americas	Mayan	-91.0	19.0	Mexico	Laz14; HGDP Maya
Inga	Americas	Quechua	-77.0	1.0	Colombia	Laz14 NP
Kaqchikel	Americas	Mayan	-91.0	15.0	Guatemala	Laz14 NP
Cabecar	Americas	Chibchan	-84.0	9.5	CostaRica	Laz14 NP
Wayuu	Americas	Arawakan	-73.0	11.0	Colombia	Laz14 NP, n==1
Piapoco	Americas	Arawakan	-68.0	3.0	Colombia	Laz14; HGDP Colombian
Ticuna	Americas	Ticuna	-70.0	-3.8	Colombia	Laz14 NP, n==1
Karitiana	Americas	Tupian	-63.0	-10.0	Brazil	Laz14; HGDP
Surui	Americas	Tupian	-62	-11.0	Brazil	Laz14; HGDP
Bolivian	Americas	Romance	-67.2	-15.0	Bolivia	Laz14
Aymara	Americas	Aymaran	-68.2	-16.5	Bolivia	Laz14 NP
Quechua	Americas	Quechua	-66.0	-20.0	Bolivia/Peru	Laz14 (P+NP)
Chane	Americas	Arawakan	-60.0	-25.0	Argentina	Laz14 NP, n==1
Guarani	Americas	Tupian	-59.0	-27.5	Argentina	Laz14 NP
Chilote	Americas	Mapudungun	-73.9	-42.5	Chile	Laz14 NP
#
# Oceania
#
Mussau	Oceania	Austronesian	149.73	-1.58	PapuaNewGuinea	Sko16 NP
Saposa	Oceania	Austronesian	154.67	-5.58	PapuaNewGuinea	Sko16 NP
Buka	Oceania	Austronesian	154.67	-5.42	PapuaNewGuinea	Sko16 NP
Teop	Oceania	Austronesian	155.18	-5.85	PapuaNewGuinea	Sko16 NP
Tigak	Oceania	Austronesian	150.83	-2.57	PapuaNewGuinea	Sko16 NP
Australian	Oceania	Australian	143.0	-13.0	Australia	Laz14
Kove	Oceania	Austronesian	148.95	-5.47	PapuaNewGuinea	Sko16 NP
Melamela	Oceania	Austronesian	151.25	-5	PapuaNewGuinea	Sko16 NP
Nakanai_Bileki	Oceania	Austronesian	150.8	-5.75	PapuaNewGuinea	Sko16 NP
Mangseng	Oceania	Austronesian	150.7	-5.93	PapuaNewGuinea	Sko16 NP
Manus	Oceania	Austronesian	147	-2.08	PapuaNewGuinea	Sko16 NP
#
Nasoi	Oceania	SBougainville	155	-6	PapuaNewGuinea	Laz14 (Bougainville); HGDP Melanesian
Nailik	Oceania	Austronesian	151.52	-2.98	PapuaNewGuinea	Sko16 NP
Notsi	Oceania	Austronesian	151.65	-3.05	PapuaNewGuinea	Sko16 NP
SW_Bougainville	Oceania	Papuan	155.5	-6.6	PapuaNewGuinea	Sko16 NP
#
Kuot_Kabil	Oceania	Papuan	151.7	-3.07	PapuaNewGuinea	Sko16 NP
Kuot_Lamalaua	Oceania	Papuan	151.5	-3	PapuaNewGuinea	Sko16 NP
Lavongai	Oceania	Austronesian	150.43	-2.57	PapuaNewGuinea	Sko16 NP
Madak	Oceania	Austronesian	151.7	-3.1	PapuaNewGuinea	Sko16 NP
